Name,Value
tmChargeSpeed2,55
tmChargeSpeed3,90
tmChargeSpeed4,-1
tmChargeSpeed5,-1
tmChargeSpeedB1,0
tmChargeSpeedB2,3368.6
tmChargeSpeedB3,0
tmChargeSpeedB4,0
tmChargeSpeedB5,0
tmCoolingBeforeCharge,0
tmCoolingBeforeChargeB,0
tmCoolingTime,10
tmCoolingTimeB,0
tmHoldPress1,35
tmHoldPress2,0
tmHoldPress3,0
tmHoldPress4,0
tmHoldPress5,0
tmHoldPress6,-1
tmHoldPressB1,0
tmHoldPressB2,0
tmHoldPressB3,0
tmHoldPressB4,0
tmHoldPressB5,0
tmHoldPressB6,0
tmHoldSpeed1,20
tmHoldSpeed2,0
tmHoldSpeed3,0
tmHoldSpeed4,0
tmHoldSpeed5,0
tmHoldSpeed6,-1
tmHoldSpeedB1,0
tmHoldSpeedB2,0
tmHoldSpeedB3,0
tmHoldSpeedB4,0
tmHoldSpeedB5,0
tmHoldSpeedB6,0
tmHoldTime1,1
tmHoldTime2,0
tmHoldTime3,0
tmHoldTime4,0
tmHoldTime5,0
tmHoldTime6,-1
tmHoldTimeB1,0
tmHoldTimeB2,0
tmHoldTimeB3,0
tmHoldTimeB4,0
tmHoldTimeB5,0
tmHoldTimeB6,0
tmInj2HoldMode,0
tmInj2HoldModeB,0
tmInj2HoldPosn,10
tmInj2HoldPosnB,0
tmInj2HoldPres,0
tmInj2HoldPresB,0
tmInj2HoldTime,3.5
tmInj2HoldTimeB,0
tmInjBackDistance,5
tmInjBackDistanceB,0
tmInjBackPosi,-1
tmInjBackPosiB,0
tmInjBackPress,50
tmInjBackPressB,0
tmInjBackSpeed,35
tmInjBackSpeedB,0
tmInjPosi1,12
tmInjPosi2,8
tmInjPosi3,5
tmInjPosi4,0
tmInjPosi5,0
tmInjPosi6,0
tmInjPosiB1,0
tmInjPosiB2,0
tmInjPosiB3,0
tmInjPosiB4,0
tmInjPosiB5,0
tmInjPosiB6,0
tmInjPress1,42
tmInjPress2,30
tmInjPress3,0
tmInjPress4,0
tmInjPress5,0
tmInjPress6,0
tmInjPressB1,0
tmInjPressB2,0
tmInjPressB3,0
tmInjPressB4,0
tmInjPressB5,0
tmInjPressB6,0
tmInjSpeed1,40
tmInjSpeed2,35
tmInjSpeed3,0
tmInjSpeed4,0
tmInjSpeed5,0
tmInjSpeed6,0
tmInjSpeedB1,0
tmInjSpeedB2,0
tmInjSpeedB3,0
tmInjSpeedB4,0
tmInjSpeedB5,0
tmInjSpeedB6,0
tmClpClsFastPress_S,0
tmClpClsFastSpeed_S,0
tmClpClsHPosi_C1,0
tmClpClsHPress_C1,0
tmClpClsHSpeed_C1,0
tmClpClsHSpeed_C2,0
tmClpClsHoldPosi_S,0
tmClpClsHoldPress_S,0
tmClpClsHoldSpeed_S,0
tmClpClsLPosi_C,0
tmClpClsLPress_C,0
tmClpClsLSpeed_C,0
tmClpClsLockPosi_S1,0
tmClpClsLockPosi_S2,0
tmClpClsLockPress_S1,0
tmClpClsLockSpeed_S1,0
tmClpClsLockSpeed_S2,0
tmClpClsPosi1,150
tmClpClsPosi2,100
tmClpClsPosi3,25
tmClpClsPosi4,5
tmClpClsPosi5,-1
tmClpClsPosi_C1,0
tmClpClsPosi_C2,0
tmClpClsPosi_C3,0
tmClpClsPress1,45
tmClpClsPress2,35
tmClpClsPress3,38
tmClpClsPress4,25
tmClpClsPress5,75
tmClpClsPress_C1,33686
tmClpClsPress_C2,0
tmClpClsPress_C3,0
tmClpClsSpeed1,30
tmClpClsSpeed2,25
tmClpClsSpeed3,20
tmClpClsSpeed4,20
tmClpClsSpeed5,65
tmClpClsSpeed_C1,0
tmClpClsSpeed_C2,0
tmClpClsSpeed_C3,0
tmClpSPMode,45746
tmClpOpnBrokePosi_S,0
tmClpOpnBrokePress_S,0
tmClpOpnBrokeSpeed_S,0
tmClpOpnFastPress_S,0
tmClpOpnFastSpeed_S,0
tmClpOpnPosi1,10
tmClpOpnPosi2,50
tmClpOpnPosi3,120
tmClpOpnPosi4,200
tmClpOpnPosi5,230
tmClpOpnPosi_C1,0
tmClpOpnPosi_C2,0
tmClpOpnPosi_C3,0
tmClpOpnPosi_C4,0
tmClpOpnPress1,15
tmClpOpnPress2,20
tmClpOpnPress3,35
tmClpOpnPress4,35
tmClpOpnPress5,20
tmClpOpnPress_C1,0
tmClpOpnPress_C2,0
tmClpOpnPress_C3,0
tmClpOpnPress_C4,0
tmClpOpnPress_C5,0
tmClpOpnSlowDownPosi_S,0
tmClpOpnSpeed1,10
tmClpOpnSpeed2,15
tmClpOpnSpeed3,55
tmClpOpnSpeed4,25
tmClpOpnSpeed5,10
tmClpOpnSpeed_C1,0
tmClpOpnSpeed_C2,0
tmClpOpnSpeed_C3,0
tmClpOpnSpeed_C4,0
tmClpOpnSpeed_C5,0
